CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
AMER SIGN LANGUAGE III:	AMER SIGN LANGUAGE II-###-0.5265671316233936---AMERICAN SIGN LANGUAGE I-###-0.6177338403539776---AMER SIGN LANGUAGE IV-###-0.7455868816056715---AMER SIGN LANGUAGE V-###-0.4377333520562167---
Saints and Devils in Russian Literature and Tradition:	
ADDICTION NEUROSCIENCE: Neuroscience behind the addiction to chocolate,wine,coffee & tobacco:	
TOPICS FILM STUDIES: AMERICAN INDEPENDENTS:	TOPICS IN ROMANTICISM: WORDSWORTH AND COLERIDGE-###-0.3028117020968008---TOPICS FILM STUDIES: DOCUMENTARY CINEMA-###-0.5129074731948814---Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.28375717493176156---TPCS 19TH-C AMERICAN LIT-###-0.29204777701457---TPCS 19TH-CENT NOVEL: THE BRONTE SISTERS-###-0.2835817278957096---TOPICS LITERARY THEORY: GLOBAL FEMINISMS-###-0.3591244346901563---TOPICS - ROMANCE: PULP FICTIONS:  POPULAR ROMANCE FROM CHAUCER TO TARANTINO-###-0.267188285545101---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.28375717493176156---MOD HEB LIT & CULT TRANS: MODERN HEBREW LIT & CULTURE IN TRANSLATION: IMAGE OF HAIFA & OTHER CITIES-###-0.31178465840968006---ITALIAN CINEMA: ITALIAN ART CINEMA-###-0.7543566341320721---WRITING AND REMEMBERING-###-0.33050248175139724---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.28375717493176156---TPCS 18TH-CENTURY NOVEL: BRITISH EPISTOLARY FICT-###-0.27001583276434243---GROUNDBREAKING POETS, TRADITIONAL FORMS-###-0.30024239817370374---THE ART OF THE INTERVIEW-###-0.33050248175139724---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.28375717493176156---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.28375717493176156---TPCS 18TH-C BRITISH LIT: BEAST CULTURE-###-0.2878700365693313---LITERATURE AND ART IN AFRICA AND THE AFRICAN DIASPORA-###-0.26253969999796534---The Glorious "What If?": Writing Speculative Fiction-###-0.33050248175139724---Embodied Writing: A Writing Workshop-###-0.33050248175139724---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.28375717493176156---THE COEN BROTHERS AND THEIR INFLUENCES-###-0.6235492783425917---How a Story Works: The Art of Fiction-###-0.33050248175139724---TOPICS CULTURAL STUDIES: CONTEMP EUROPEAN CINEMA-###-0.4234169404316304---Architecture of Latin American Identities-###-0.28375717493176156---Narratives of Contact: Global Perspectives in Medieval Literature-###-0.267188285545101---21st Century Latin American Literature-###-0.28375717493176156---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.36964646128164236---TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA-###-0.9472419176272522---MEXICO: REVOLUTION AND CULTURE-###-0.28375717493176156---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.28375717493176156---TOPICS LAW & LITERATURE: PRISON LIT. IN THE U. S.-###-0.34486404276272337---TOPICS POETRY & POETICS: POETRY & THE ENVIRONMENT-###-0.2959244595488539---PIRATES, SINNERS, AND CASTAWAYS:  LITERATURE FROM THE OTHER ATLANTIC-###-0.29204777701457---TPCS IN AFRICANA STUDIES: The History of Women and Men of African Descent at the University of Penn-###-0.3232805310656372---TOPICS 18TH-CENT NOVEL: PAMELA CRAZE-###-0.27001583276434243---NO BENCH BY THE ROAD:  MONUMENTS, MEMORY AND THE AFTERLIFE OF SLAVERY-###-0.3087085708547861---CONTEMPORARY SPANISH CINEMA-###-0.28375717493176156---TOPICS GERMAN CINEMA: FRITZ LANG-###-0.9647926093450147---MODERN SCI-FI CINEMA-###-0.6750352085552132---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.36964646128164236---TOPICS OLD ENGLISH: KING ARTHUR:  MEDIEVAL TO MODERN-###-0.2637321209724187---AMERICAN POETRY POST 1975-###-0.30024239817370374---CONTAGION-###-0.3371087978425159---MLA PROSEMINAR IN CINEMA: CINEMA AND POLITICS-###-0.7289267922877467---TOPICS 19TH-C LITERATURE: DISTRACTION-###-0.3044829571834549---TOPICS FILM HISTORY: REALISM & WORLD CINEMA-###-0.8200117299515789---To Whom It May Concern: Literary Letters in Latin America-###-0.28375717493176156---ARCHAEOLOGY OF FICTION-###-0.33050248175139724---MLA Proseminar: Looking for Don Quixote-###-0.28375717493176156---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.28375717493176156---Between Fact and Fiction: Chronicle in LtAm from Span Conquest to 21st Cent-###-0.3099499320970217---Fiction and Poetry-###-0.33050248175139724---TOPICS 20TH-C LITERATURE: ANIMAL TALES-###-0.3123015093857572---TPCS THEORIES GENDER/SEX: GLOBAL FEMINISM-###-0.32678870381718006---MLA SEMINARS IN CINEMA: MARS&VENUS AT THE MOVIES-###-0.6235492783425917---THE LITERATURE & HISTORIOGRAPHY OF NATIONAL TRAUMA:  PARTITION & SOUTH ASIA-###-0.3111973692767046---TPCS 20TH-C AMERICAN LIT: THE POLITICS OF THE GIFT-###-0.29892561216551605---MODERNITY, COLONIALISM, AND RACE:  VIEWS FROM THE GLOBAL SOUTH-###-0.3591244346901563---TOPICS - THE NOVEL: LIT & PHOTOGRAPHY (NOW)-###-0.2682142114981907---FILM, TELEVISION, AND TRANSATLANTIC SCREEN CULTURE-###-0.4234169404316304---Latin American Literature and Pop(ular) Culture-###-0.28375717493176156---TOPICS 20TH-C LITERATURE: REPRESENTATIONS OF THE HOLOCAUST-###-0.3123015093857572---MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA-###-0.3111973692767046---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.28375717493176156---TOPICS IN ANIMATION: THE ANIMATION OF DISNEY-###-0.749591573267803---ITALIANS IN AMERICAN CINEMA-###-0.9647926093450147---The History of Women and Men of African Descent at the University of Penn-###-0.3232805310656372---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.28375717493176156---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.28375717493176156---TOPICS CULTURAL STUDIES: SOCIAL NETWORKS-###-0.4234169404316304---TOPICS FILM STUDIES: HOLLYWOOD 1939-###-0.8957765000810346---SEM EGYPT ARCHAEOL& HIST-###-0.30169810430624394---Gabriel Garcia Marquez and Latin American Literature-###-0.28375717493176156---TOPICS LAW & LITERATURE: COPYRIGHT AND CULTURE-###-0.34486404276272337---LATIN AMERICAN FILM-###-0.28375717493176156---TOPICS POETRY & POETICS: MODERNIST AMER POETRY-###-0.2959244595488539---TPCS 19TH-C AMERICAN LIT: REWRITING AMERICAN CLASS-###-0.29204777701457---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.28375717493176156---LOOKING OUT:  U.S. LITERATURE AND THE GLOBAL NINETEENTH-CENTURY-###-0.3308808582162802---19TH-CENTURY AMERICAN LITERATURE:  LITERARY RADICALS-###-0.29204777701457---TOPICS - THE NOVEL: NOVEL AND ROMANCE-###-0.2682142114981907---TOPICS FILM STUDIES: PSYCHOANALYSIS/LIT/FILM-###-0.5129074731948814---Mexican Conspiracies: Literature & Politics in Contemporary Narrative-###-0.3099499320970217---TPCS 20TH-C AMERICAN LIT: POLITICS OF FRIENDSHIP-###-0.29892561216551605---DON QUIXOTE NOW AND THEN-###-0.28375717493176156---THE HISTORY OF CHILDREN'S TELEVISION-###-0.749591573267803---TPCS 19TH-C AMERICAN LIT: MELVILLE/STOWE/DOUGLASS-###-0.29204777701457---TOPICS FILM STUDIES: CINEMA AND POLITICS-###-0.5129074731948814---Food in Latin American History and Culture-###-0.28375717493176156---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.36964646128164236---CONTEMPORARY ISSUES IN AMERICAN ANIMATION-###-0.749591573267803---REVOLUTION OF THE WORD:  MODERNIST AMERICAN POETRY AND POETICS (1900-1945)-###-0.2959244595488539---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.28375717493176156---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.28375717493176156---Story-Telling in Fiction and Nonfiction-###-0.33050248175139724---BAD KIDS: MISFITS AND MAYHEM IN LITERATURE AND FILM-###-0.3123015093857572---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.28375717493176156---TPCS: 20TH-CENT AMER LIT: THE COLORS OF LITERATURE, FROM POE TO COMICS-###-0.29892561216551605---TOPICS FILM STUDIES: TRANSNATIONAL CINEMA-###-0.8957765000810346---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.28375717493176156---Reading Old Spanish: Language in Context-###-0.28375717493176156---TOPICS FILM STUDIES: CULTURE & PSYCHOANALYSIS-###-0.5129074731948814---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.28375717493176156---Don Quijote Then and Now-###-0.28375717493176156---THE WORLD OF WORK-###-0.33050248175139724---TOPICS DRAMA TO 1660: INTRO TO SHAKESPEARE-###-0.25872158414962043---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.3399435279959576---AMERICAN LITERARY RADICALS OF THE 19TH CENTURY-###-0.29204777701457---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.36964646128164236---TOPICS FILM HISTORY: TRANSNATIONAL CINEMA-###-0.8200117299515789---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.28375717493176156---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.28375717493176156---Contemporary Fantastic Literature in Latin America-###-0.3099499320970217---TOPICS FILM HISTORY: LIFE IMITATES ART: THEORIES AND FORMS OF AVANT-GARDE CINEMA-###-0.9647926093450147---PARALLEL HISTORIES: PSYCHOANALYSIS AND FILM-###-0.4234169404316304---TOPICS 17TH-CENTURY LIT: MILTON-###-0.27119103260608235---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.28375717493176156---THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI-###-0.31178465840968006---DON QUIJOTE THEN AND NOW-###-0.28375717493176156---MEXICAN CINEMA-###-0.28375717493176156---MOD HEB LIT & CULT TRANS: FANTASY DREAMS & MADNESS-###-0.31178465840968006---Murdering the Past: Women's Narrative in Post-Franco Spain-###-0.3099499320970217---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.28375717493176156---TPCS THEORIES GENDER/SEX: THINKING SEX-###-0.32678870381718006---Coming of Age in Latin America-###-0.3099499320970217---TOPICS LATINA/O LIT: RACE, SPACE, AND WRITING-###-0.2592095159320332---POETRY AND POETICS: LOVE, MARRIAGE, & POETRY-###-0.36098363762369384---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.28375717493176156---Reality and Appearance in Golden Age Spain-###-0.28375717493176156---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.36964646128164236---TOPICS FILM STUDIES: ENVIRONMENTAL MEDIA-###-0.5129074731948814---FERAL TRANSLATIONS: THE WILD CHILD IN THE CULTURAL IMAGINATION-###-0.8695167725622568---TPCS 18TH-C BRITISH LIT: CHINA IN THE ENGLISH IMAGINATION-###-0.2878700365693313---GROUNDBREAKING POETS AND TRADITIONAL FORMS-###-0.30024239817370374---HISTORY AND THEORY OF ANIMATION-###-0.749591573267803---TOPICS RACE & ETHNICITY: 20TH-C SOUTHERN WRITERS-###-0.3087085708547861---MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film-###-0.6235492783425917---Writing and Remembering: A Memoir Workshop-###-0.33050248175139724---TOPICS LITERARY THEORY: MARX AND MARXISMS-###-0.3591244346901563---
1ST YEAR AKKADIAN I:	AKKADIAN HIST TEXTS-###-0.40240476855310015---
INTERMEDIATE URDU II:	CRITICAL APPRECIATION-###-0.3766170434442009---BEGINNING HINDI-URDU - Part I-###-0.3102959068548385---Beginning Hindi-Urdu - Part I-###-0.3889607099874643---BEGINNING HINDI-URDU II-###-0.3102959068548385---SUFISM IN URDU POETRY-###-0.3766170434442009---INTERMEDIATE URDU I-###-0.891054061069656---BEG HIN/URD FOR GRADS-###-0.3889607099874643---BEGINNING HINDI & URDU II-###-0.3889607099874643---URDU POETRY IN TRNSLTN: URDU POETRY IN TRANSLATION: POETRY OF RESISTANCE, I AM TRUTH - ANUL HAQ-###-0.28488450546122335---SUFISM AND RESISTANCE: Lit in Translation-Sufism and Resistance-###-0.3766170434442009---
TPCS 18TH-CENTURY NOVEL: BRITISH EPISTOLARY FICT:	TOPICS IN ROMANTICISM: WORDSWORTH AND COLERIDGE-###-0.4971950659792087---TOPICS FILM STUDIES: DOCUMENTARY CINEMA-###-0.576376470880435---TOPICS FILM STUDIES: MODERN SCI-FI CINEMA-###-0.27001583276434243---LOOKING OUT:  U.S. LITERATURE AND THE GLOBAL NINETEENTH-CENTURY-###-0.5432826043146458---19TH-CENTURY AMERICAN LITERATURE:  LITERARY RADICALS-###-0.4795214740922473---KELLY WRITERS HOUSE FELLOWS SEMINAR:  S. R. DELANY, E. MYLES & M. WEINER-###-0.29564234087296987---TOPICS - THE NOVEL: NOVEL AND ROMANCE-###-0.6093510835547161---HUMAN RIGHTS IN THE AGE OF REVOLUTIONS-###-0.2815203728809366---TOPICS FILM STUDIES: PSYCHOANALYSIS/LIT/FILM-###-0.576376470880435---TPCS 19TH-C AMERICAN LIT-###-0.4795214740922473---TPCS 19TH-CENT NOVEL: THE BRONTE SISTERS-###-0.644264269981589---TOPICS LITERARY THEORY: GLOBAL FEMINISMS-###-0.5896565283445983---TOPICS - ROMANCE: PULP FICTIONS:  POPULAR ROMANCE FROM CHAUCER TO TARANTINO-###-0.4396452571721559---TPCS 20TH-C AMERICAN LIT: POLITICS OF FRIENDSHIP-###-0.49081438542291833---TOPICS FILM STUDIES: AMERICAN INDEPENDENTS-###-0.27001583276434243---GOVERNING THE WORLD: HIST OF INTERNATIONAL ORGANIZATIONS 1870S-PRESENT-###-0.2815203728809366---GROUNDBREAKING POETS, TRADITIONAL FORMS-###-0.492976453472759---TPCS 19TH-C AMERICAN LIT: MELVILLE/STOWE/DOUGLASS-###-0.4795214740922473---KELLY WRITERS HOUSE SEMINAR, 2015:  A. WALDMAN, J. HAGEDORN, D. ALLISON-###-0.29564234087296987---TOPICS FILM STUDIES: MARTIN SCORSESE-###-0.27001583276434243---TOPICS FILM STUDIES: CINEMA AND POLITICS-###-0.576376470880435---TPCS 18TH-C BRITISH LIT: BEAST CULTURE-###-0.8847779256899979---LITERATURE AND ART IN AFRICA AND THE AFRICAN DIASPORA-###-0.4310713309914357---HISTORY, MEMORY, AND NOSTALGIA IN MODERN EUROPE-###-0.2815203728809366---GOD AND NATURE-###-0.2815203728809366---REVOLUTION OF THE WORD:  MODERNIST AMERICAN POETRY AND POETICS (1900-1945)-###-0.48588670837833037---TOPICS CULTURAL STUDIES: CONTEMP EUROPEAN CINEMA-###-0.6050292607731989---VOICES OF THE MIDDLE EAST: HISTORY THROUGH LITERATURE-###-0.2815203728809366---Narratives of Contact: Global Perspectives in Medieval Literature-###-0.4396452571721559---FASHION & IMAGE IN THE AFRICAN DIASPORA-###-0.2815203728809366---IMPROVISED CITIES IN THE MODERN WORLD-###-0.2815203728809366---TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA-###-0.2589095566780196---BAD KIDS: MISFITS AND MAYHEM IN LITERATURE AND FILM-###-0.5127766479606551---TPCS: 20TH-CENT AMER LIT: THE COLORS OF LITERATURE, FROM POE TO COMICS-###-0.49081438542291833---WOMEN IN THE MIDDLE EAST: A MODERN HISTORY-###-0.2815203728809366---TOPICS LAW & LITERATURE: PRISON LIT. IN THE U. S.-###-0.566241989024771---TOPICS POETRY & POETICS: POETRY & THE ENVIRONMENT-###-0.48588670837833037---PIRATES, SINNERS, AND CASTAWAYS:  LITERATURE FROM THE OTHER ATLANTIC-###-0.4795214740922473---TOPICS FILM STUDIES: ROMANTIC COMEDY-###-0.27001583276434243---TOPICS 18TH-CENT NOVEL: PAMELA CRAZE-###-1.0000000000000002---TOPICS FILM STUDIES: CULTURE & PSYCHOANALYSIS-###-0.576376470880435---TOPICS DRAMA TO 1660: INTRO TO SHAKESPEARE-###-0.42480225899722573---NO BENCH BY THE ROAD:  MONUMENTS, MEMORY AND THE AFTERLIFE OF SLAVERY-###-0.5068773009486486---TOPICS GERMAN CINEMA: FRITZ LANG-###-0.27304627673667603---AMERICAN LITERARY RADICALS OF THE 19TH CENTURY-###-0.4795214740922473---TOPICS OLD ENGLISH: KING ARTHUR:  MEDIEVAL TO MODERN-###-0.4339583073895851---TOPICS FILM STUDIES: HISTORICAL FILMS-###-0.27001583276434243---AMERICAN POETRY POST 1975-###-0.492976453472759---URBANIZATION AND ITS DISCONTENTS-###-0.2815203728809366---KELLY WRITERS HOUSE FELLOWS SEMINAR: DAVIS, BAMFORD AND MACKEY-###-0.29564234087296987---CONTAGION-###-0.5535084338712293---WAR & CONQUEST IN MEDIEVAL EUROPE-###-0.2815203728809366---TOPICS 19TH-C LITERATURE: DISTRACTION-###-0.4999391467968366---TOPICS FILM HISTORY: LIFE IMITATES ART: THEORIES AND FORMS OF AVANT-GARDE CINEMA-###-0.27304627673667603---PARALLEL HISTORIES: PSYCHOANALYSIS AND FILM-###-0.6050292607731989---TOPICS 17TH-CENTURY LIT: MILTON-###-0.44527619776876315---TOPICS FILM STUDIES: FILM FESTIVALS-###-0.27001583276434243---REL&COL RULE IN AFRICA-###-0.2815203728809366---TOPICS AMERICAN LIT: AMERICAN BESTSELLERS-###-0.3001295805728802---TOPICS 20TH-C LITERATURE: ANIMAL TALES-###-0.5127766479606551---GERMAN CENTURY:1890-1990-###-0.2815203728809366---TPCS THEORIES GENDER/SEX: GLOBAL FEMINISM-###-0.5365635807023836---THE LITERATURE & HISTORIOGRAPHY OF NATIONAL TRAUMA:  PARTITION & SOUTH ASIA-###-0.5109637292043147---TPCS 20TH-C AMERICAN LIT: THE POLITICS OF THE GIFT-###-0.49081438542291833---MODERNITY, COLONIALISM, AND RACE:  VIEWS FROM THE GLOBAL SOUTH-###-0.5896565283445983---TOPICS - THE NOVEL: LIT & PHOTOGRAPHY (NOW)-###-0.6093510835547161---FILM, TELEVISION, AND TRANSATLANTIC SCREEN CULTURE-###-0.6050292607731989---FLORENCE IN HISTORY-###-0.2815203728809366---TPCS THEORIES GENDER/SEX: THINKING SEX-###-0.5365635807023836---THE CITY OF ROME: FROM CONSTANTINE TO THE BORGIAS-###-0.2815203728809366---TOPICS 20TH-C LITERATURE: REPRESENTATIONS OF THE HOLOCAUST-###-0.5127766479606551---Iraq and Syria from World War I to ISIS-###-0.2815203728809366---MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA-###-0.5109637292043147---ITALIANS IN AMERICAN CINEMA-###-0.27304627673667603---TPCS: CONTEMP AMER LIT: NOVEL OF THE YEAR-###-0.29564234087296987---ORAL HISTORY-###-0.2815203728809366---TOPICS LATINA/O LIT: RACE, SPACE, AND WRITING-###-0.4256034079391926---UNOFFICIAL HISTORIES OF THE COLONIAL CARIBBEAN-###-0.2815203728809366---TOPICS IN US HISTORY: JAPANESE/AMER INTERNMENT-###-0.2815203728809366---FEMINISM IN THE AMERICAS-###-0.2815203728809366---POETRY AND POETICS: LOVE, MARRIAGE, & POETRY-###-0.2519164652080927---KELLY WRITERS HOUSE FELLOWS SEMINAR: P. AUSTER, B. MAYER, C. M. BLOW-###-0.29564234087296987---MIGRATION AND REFUGEES IN AFRICA-###-0.2815203728809366---TOPICS CULTURAL STUDIES: SOCIAL NETWORKS-###-0.6050292607731989---CAPITALISM AND HUMANITARIANISM-###-0.2815203728809366---TOPICS FILM STUDIES: ENVIRONMENTAL MEDIA-###-0.576376470880435---TPCS 18TH-C BRITISH LIT: CHINA IN THE ENGLISH IMAGINATION-###-0.8847779256899979---SEM EGYPT ARCHAEOL& HIST-###-0.3593806703039059---GROUNDBREAKING POETS AND TRADITIONAL FORMS-###-0.492976453472759---THE SEXUAL LIFE OF COLONIALISM: GENDER & SEXUALITY IN THE COLONIAL WORLD-###-0.2815203728809366---TOPICS LAW & LITERATURE: COPYRIGHT AND CULTURE-###-0.566241989024771---TOPICS RACE & ETHNICITY: 20TH-C SOUTHERN WRITERS-###-0.5068773009486486---TOPICS POETRY & POETICS: MODERNIST AMER POETRY-###-0.48588670837833037---TPCS 19TH-C AMERICAN LIT: REWRITING AMERICAN CLASS-###-0.4795214740922473---TOPICS LITERARY THEORY: MARX AND MARXISMS-###-0.5896565283445983---
Middle Eastern Cities: Imperial, Colonial, National, Contemporary:	
Mktg in Emerging Economies: Understanding & Mktg to the Chinese Consumer:	Mktg in Emerging Economies: Understanding & Mktg to the Indian Consumer-###-0.788671755200953---
EXISTENTIAL DESPAIR:	
FIELD METH OF SOC RES:	INTRO SOC RESEARCH-###-0.2809745485919534---Introduction to Sociological Research-###-0.2809745485919534---RESEARCH METHODS IN SOCIAL ANTHROPOLOGY-###-0.26538259336698916---INTRO SOCI RESEARCH-###-0.2713628721551199---
COGNITIVE BEHAVIORAL STRATEGIES IN HEALTH CARE:	
