TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY:	CONTEMP BRAZILIAN CINEMA 0.14866683165668146,ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE 0.10086034033098498,TOPICS GERMAN CINEMA: FRITZ LANG 0.15655235234682022,INTRO POSTCOLONIAL LIT: SOUTH AFRICAN LIT/FILM 0.11870558509086072,WRITING SEMINAR IN STSC: SEXUAL SELECTION 0.10238841835973267,MLA Proseminar: Looking for Don Quixote 0.19520672406216155,WRITING SEMINAR IN ENGL: COMICS & GRAPHIC NOVELS 0.1297100613911209,THE ARTS & POPULAR CULT. 0.13271275056482648,WRITING SEMINAR IN CIMS: OUR ANIMALS, OURSELVES 0.12032312795068484,WRITING SEMINAR IN EAS: ART OF ENGINEERING 0.10510947377352785,TOPICS FILM STUDIES: MODERN SCI-FI CINEMA 0.1747380000050989,TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE 0.23455488700791421,WRITING SEMINAR IN ENGL: COMICS & GRAPHIC NOVELS 0.1297100613911209,WRITING SEMINAR IN STSC: GEEK HERESY 0.10238841835973267,The Translation of Poetry and the Poetry of Translation 0.10211014749191219,WRITING SEMINAR IN PHIL: DIGITAL ART 0.11551812171926731,The Glorious "What If?": Writing Speculative Fiction 0.37551577373668116,WRITING SEMINAR IN COML: CAPITALIST SUPERHEROES 0.11025395968641116,PLATO AND ARISTOTLE IN THE RENAISSANCE 0.1055519154950465,WRITING SEM GLOBAL ENGL: GLOBAL CITIES 0.10978902202730402,LAW IN AFRICA 0.1813464167102159,Food in Italian Culture: From Court Banquets to Food Trucks 0.16412260226409994,INTRODUCTION TO BIBLIOGRAPHY FROM GUTENBERG TO GOOGLE BOOKS 0.11544752110224679,The City: Literary and Visual Tradition 0.16412260226409994,WRITING SEMINAR IN EAS: ART OF ENGINEERING 0.10510947377352785,TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS 0.14866683165668146,POETRY AND POETICS: LOVE, MARRIAGE, & POETRY 0.2415170552182813,SCIENCE AND LITERATURE 0.1187240727561531,WRITING SEM GLOBAL ENGL: GLOBALIZATION INEQUALITY 0.10978902202730402,The Translation of Poetry and the Poetry of Translation 0.10211014749191219,MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film 0.13162485733537613,WRITING SEM GLOBAL ENGL: GLOBAL CITIES 0.10978902202730402,WRITING SEMINAR IN ANTH: PHILANTHROPY/DISCONTENTS 0.11531619483703538,WRITING SEMINAR IN STSC: MARINE ECOLOGIES 0.10238841835973267,The Holocaust - Representation and Silence 0.1187240727561531,The History of Women and Men of African Descent at the University of Penn 0.15716916053636232,The US and Human Rights: Policies and Practices 0.18134641671021587,CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.19520672406216155,Gabriel Garcia Marquez and Latin American Literature 0.19520672406216155,Food in Italian Culture: From Court Banquets to Food Trucks 0.16412260226409994,WRITING SEMINAR IN MUSC: THE TUNING OF THE WORLD 0.1025288225421452,ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL. 0.3350604929294388,Food in Latin American History and Culture 0.19520672406216155,ITALIAN DRAMA AND THE PERFORMANCE OF A NATION 0.11128890411107073,Culture and Identity of the Lusophone World 0.14866683165668146,Culture and Identity of the Lusophone World 0.14866683165668146,After Odysseus. On Hospitality in France, North Africa & the Mediterranean 0.17290269949658293,IMMIGRANT URBAN LABOR IN THE U.S. 0.10381826915664376,Culture and Identity of the Lusophone World 0.14866683165668146,ELEM VIETNAMESE I 0.14082398548753447,WRITING SEMINAR IN CINE: PSYCHO: A CASE HISTORY 0.12032312795068484,POETRY WRITING WORKSHOP 0.1530355764592056,French Modernity and Its Discontents 0.14128873794622238,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.1492275850234238,ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET 0.3350604929294388,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.1492275850234238,ADVANCED FICTION WRITING 0.11237425756012315,CRITICAL WRITING SEMINAR: EINSTEIN & PICASSO 0.10583759053411182,WRITING SEMINAR IN COMM: MARKETING LIKES 0.11080485424339342,(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL 0.16412260226409994,WRITING SEMINAR IN COML: BORGES'S SHORT FICTION 0.11025395968641116,BEGINNING YIDDISH II 0.11237810109979121,BEGINNING YIDDISH II 0.11237810109979121,WRITING SEMINAR IN URBS: A WORLD OF CITIES 0.11077515831252714,CONTEMPORARY ISSUES IN AMERICAN ANIMATION 0.15022807190059048,MODERN SCI-FI CINEMA 0.13119234558058565,THE ARTS & POPULAR CULT.: THE ARTS AND POPULAR CULTURE:  BOB DYLAN 0.13271275056482648,WRITING SEMINAR IN CLST: CLASSICAL MYTHOLOGY 0.10851479305642464,WRITING SEMINAR IN ENGL: COMICS & GRAPHIC NOVELS 0.1297100613911209,TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS 0.14866683165668146,WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS 0.11531619483703538,INTRO TO CREATIVE WRIT: CREATIVE NONFICTION AND POETRY 0.3136632694141754,ACROSS FORMS: ART AND WRITING 0.10412540054598408,CONTEMP BRAZILIAN CINEMA 0.14866683165668146,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.19520672406216155,WRITING SEMINAR IN EDUC: NATION OF IMMIGRANTS 0.1052865546192628,Telling It All: Women as Storytellers in Hispanic Fiction 0.19520672406216155,HISTORY AND THEORY OF ANIMATION 0.15022807190059048,
INTERMEDIATE SWAHILI II:	FUND CONCEPTS IN NANOTEC 0.15218652618248218,
REAL ESTATE INVESTMENTS:	REAL ESTATE DEVELOPMENT 0.261511494462402,REAL ESTATE DEVELOPMENT 0.261511494462402,CAPITAL MARKETS 0.13917553375096856,ACCELERATED CORP FINANCE 0.12232256662981322,CORPORATE FNCE (HALF CU) 0.15002480858988132,CAPITAL MARKETS 0.1400102368541809,INTRO TO REAL ESTATE 0.5183637674220154,REAL ESTATE LAW 0.4338521032887917,ENERGY MARKETS & POLICY 0.10086677217498756,ENERGY FINANCE 0.11257755807182614,URBAN REAL ESTATE ECON 0.3736199733599323,GIS APPLICATIONS IN SOCIAL SCIENCE 0.11824831867418366,MACROECN & GLOBAL ECONOM 0.10007520748696756,CULTURE, CONSUMPTION, AND PRODUCTION IN THE GLOBAL MARKETPLACE 0.10169265927416839,CORPORATE FINANCE 0.11546670416841151,GIS APPLICATIONS IN SOCIAL SCIENCE 0.11824831867418366,REAL ESTATE DEVELOPMENT 0.261511494462402,ENERGY FINANCE 0.11257755807182614,ADV REAL EST INV, ANALYS 0.3154028569096164,REAL ESTATE ENTREPRENEUR 0.3755881743138857,ENERGY MARKETS & POLICY 0.10086677217498756,MACROECN & GLOBAL ECONOM 0.10007520748696756,SENIOR PROJECT 0.11866928542733342,URBAN FISCAL POLICY 0.15671897894388095,CORPORATE FINANCE 0.11546670416841151,REAL ESTATE INVESTMENTS 0.9694549313945462,PRINCIPLES OF RETAILING 0.11699638579617659,MACROECN & GLOBAL ECONOM 0.10007520748696756,ENERGY MARKETS & POLICY 0.10086677217498756,REAL ESTATE ENTREPRENEUR 0.4428377683115683,ENERGY MARKETS & POLICY 0.1017507073692043,ADVANCED CORP FINANCE 0.18975296260985539,VENTURE CAP & ENT MGMT 0.11227308742408362,ADVANCED CORP FINANCE 0.1914038345925959,MACROECN & GLOBAL ECONOM 0.10007520748696756,
MODERNITY, COLONIALISM, AND RACE:  VIEWS FROM THE GLOBAL SOUTH:	CONTEMP BRAZILIAN CINEMA 0.12202898339129996,MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA 0.7096209119544884,TOPICS GERMAN CINEMA: FRITZ LANG 0.3870994531198564,TOPICS - THE NOVEL: NOVEL AND ROMANCE 0.6183228943529132,GERMAN CENTURY:1890-1990 0.38379399438138534,FEMINISM IN THE AMERICAS 0.38379399438138534,MLA Proseminar: Looking for Don Quixote 0.12248785169902147,TOPICS 20TH-C LITERATURE: REPRESENTATIONS OF THE HOLOCAUST 0.6933629181168428,STUDY OF A GENRE: GOTHIC 0.1324236455761316,TPCS 20TH-C AMERICAN LIT: THE POLITICS OF THE GIFT 0.6648944687322428,TOPICS IN LOGIC 0.1657720568746271,TOPICS - MODERNISM: BECKETT AND KAFKA 0.4010978113642117,TOPICS POETRY & POETICS: MODERNIST AMER POETRY 0.6875988684419007,LOOKING OUT:  U.S. LITERATURE AND THE GLOBAL NINETEENTH-CENTURY 0.7570548506386793,KELLY WRITERS HOUSE SEMINAR, 2015:  A. WALDMAN, J. HAGEDORN, D. ALLISON 0.4561033276421861,SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND LAW 0.29548099089610225,TOPICS FILM STUDIES: MODERN SCI-FI CINEMA 0.383634371252752,TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE 0.11142312727502791,TPCS 19TH-C AMERICAN LIT: REWRITING AMERICAN CLASS 0.6404389331281842,IMPROVISED CITIES IN THE MODERN WORLD 0.38379399438138534,REL&COL RULE IN AFRICA 0.38379399438138534,Food in Italian Culture: From Court Banquets to Food Trucks 0.1152520968328177,MOD HEB LIT & CULT TRANS: MODERN HEBREW LIT & CULTURE IN TRANSLATION: IMAGE OF HAIFA & OTHER CITIES 0.10013923048150211,The City: Literary and Visual Tradition 0.1152520968328177,TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS 0.12202898339129996,POETRY AND POETICS: LOVE, MARRIAGE, & POETRY 0.3709859224706812,FLORENCE IN HISTORY 0.38379399438138534,TPCS 18TH-C BRITISH LIT: CHINA IN THE ENGLISH IMAGINATION 0.6657611588059308,MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film 0.19398804805327097,Spanish Surrealism:  The Works of Salvador Dali 0.10479038660376312,PIRATES, SINNERS, AND CASTAWAYS:  LITERATURE FROM THE OTHER ATLANTIC 0.6404389331281842,STUDY OF A THEME: TALES OF STUDY ABROAD 0.11917259116617263,FLORENCE IN HISTORY 0.38379399438138534,LITERATURE AND LAW 0.1220198257491795,TOPICS - MODERNISM: BECKETT AND KAFKA 0.4010978113642117,TOPICS LATINA/O LIT: RACE, SPACE, AND WRITING 0.6387361212564202,CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.12248785169902147,Gabriel Garcia Marquez and Latin American Literature 0.12248785169902147,Food in Italian Culture: From Court Banquets to Food Trucks 0.1152520968328177,REVOLUTION OF THE WORD:  MODERNIST AMERICAN POETRY AND POETICS (1900-1945) 0.6875988684419007,Food in Latin American History and Culture 0.12248785169902147,Culture and Identity of the Lusophone World 0.12202898339129996,Culture and Identity of the Lusophone World 0.12202898339129996,IMMIGRANT URBAN LABOR IN THE U.S. 0.12780412204675767,Culture and Identity of the Lusophone World 0.12202898339129996,TPCS 18TH-CENTURY NOVEL: BRITISH EPISTOLARY FICT 0.6276935204219698,MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA 0.7096209119544884,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.3689878541396284,TPCS MDRN AMERICAN LIT: NEW YORK IN THE 1950S 0.25210071681569857,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.3689878541396284,TOPICS IN PHIL & LIT: ADORNO & LITERARY THEORY 0.1069720161951457,STUDY OF A THEME: FROM THE UNCANNY TO THE HORROR:  LITERATURE, FILM AND PSYCHOANALYSIS 0.11917259116617263,(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL 0.1152520968328177,THEATRE WORKSHOP: Contemporary Dance Performance Practice 0.14599657158768717,Sexuality, Terrorism, and Human Rights 0.16974864155753513,CONTEMPORARY ISSUES IN AMERICAN ANIMATION 0.22140537145311326,MODERN SCI-FI CINEMA 0.32439298717945714,TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS 0.12202898339129996,BAD KIDS: MISFITS AND MAYHEM IN LITERATURE AND FILM 0.6933629181168428,CONTEMP BRAZILIAN CINEMA 0.12202898339129996,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.12248785169902147,Telling It All: Women as Storytellers in Hispanic Fiction 0.12248785169902147,HISTORY AND THEORY OF ANIMATION 0.22140537145311326,
ART OF THE WEB:	GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.24608935220612244,JAVASCRIPT 0.12796206628653414,DESIGN PROCESSES 0.10672442720329513,ART OF THE WEB 1.0,ARCHITECTURE IN THE ANTHROPOCENE 0.11023723931456805,RENAISSANCE-CONTEMPORARY 0.100280086120253,ART, DESIGN AND DIGITAL CULTURE 0.1727681781197131,INTERNET & WEB SYSTEMS 0.12518875623123446,INTRO TO CREATIVE WRIT: CREATIVE NONFICTION AND POETRY 0.12706145105461678,ART OF THE WEB 1.0,ART, DESIGN AND DIGITAL CULTURE 0.1727681781197131,RENAISSANCE-CONTEMPORARY 0.100280086120253,UNDERGRAD METHODS SEM 0.10679769602050945,GRAPHIC DESIGN PRACTICUM 0.14982726132447952,ART, DESIGN AND DIGITAL CULTURE 0.1727681781197131,INTERNET & WEB SYSTEMS 0.12518875623123446,RUBY ON RALS WEB DEVELP 0.11206644723638556,INTERNET & WEB SYSTEMS 0.12518875623123446,VISUAL NARRATIVE 0.15871303333841952,
STRCTRE AT THE NANOSCALE:	NANO-SCALE MATERIALS LAB 0.15767841749907874,STRUCTURAL MATERIALS 0.17111423429321237,SOFT MATERIALS 0.15403186397006052,
ADVANCED SPANISH:	ADVANCED PORTUGUESE 0.1566925202033152,HANDSCHRIFT-HYPERTEXT 0.11014951798796414,ACCELERATED INTERMD GRMN 0.1478172154485103,ACCEL INTERMEDIATE SPAN 0.16526233181490307,INTERMEDIATE GERMAN I 0.14171286607596054,INTERMEDIATE GERMAN I 0.14171286607596054,ACCEL INTERMD PORTUGUESE 0.11591591812958596,ELEM VIETNAMESE I 0.13176849613710018,INTERMEDIATE RUSSIAN I 0.1475814043424293,HIST OF SPANISH LANGUAGE 0.10358496835010331,ELEMENTARY TURKISH I 0.10054359044566437,INTERMEDIATE SPANISH II 0.15021334299837816,POETRY WRITING WORKSHOP 0.12768927150868795,ELEMENTARY TURKISH I 0.10054359044566437,ELEMENTARY TURKISH I 0.10054359044566437,BEG RDG/WRTG CHINESE I 0.11924145295583871,INTERMEDIATE GERMAN II 0.11113774636471585,ELEMENTARY GERMAN II 0.10173603109697717,ADV SPANISH SYNTAX 0.13039337559523917,ADVANCED FICTION WRITING 0.1263382418570502,ACCELERATED INTERMD GRMN 0.1478172154485103,ELEMENTARY SPANISH I 0.20345638413204775,INTERMED VIETNAMESE II 0.10331532066188762,SPAN FOR MED PROF INT I 0.1219392168681339,ELEMENTARY SWEDISH I 0.10831858796079036,BEGINNING YIDDISH II 0.13524856747786396,BEGINNING YIDDISH II 0.13524856747786396,INTERMED PERSIAN II 0.11390039795156354,ACCEL INTERMD PORTUGUESE 0.11631698000106594,WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS 0.11184566913274747,INTERMED INDONESIAN II 0.1473691878831209,ADVANCED PORTUGUESE 0.17323794630660885,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.10650803174509428,WRITING SEMINAR IN ANTH: PHILANTHROPY/DISCONTENTS 0.11184566913274747,INTERMED MODERN GREEK I 0.10321269218935698,ELEMENTARY GERMAN II 0.10173603109697717,ELEMENTARY SWEDISH I 0.10831858796079036,
VEN CAPITAL & ENT MGMT:	VENT CAP & FNCE INNOVAT 0.26586460381182014,ENTREPRENEURSHIP 0.18089679347939597,LABOR ECONOMICS 0.1377857897790518,ENG ENTREPRENEURSHIP I 0.10890130604492317,CORPORATE FNCE (HALF CU) 0.14459857217337105,ENG ENTREPRENEURSHIP I 0.10890130604492317,ENG ENTREPRENEURSHIP I 0.10890130604492317,VENTURE CAPITAL& ENT MG: Practices & Institutions of Silicon Valley 0.15693852959666174,CORPORATE FINANCE 0.17202494535458837,ENG ENTREPRENEURSHIP II 0.10052938549756132,ENG ENTREPRENEURSHIP I 0.10890130604492317,ENTREPRENEURSHIP 0.23131283914736547,Nonprofit Financial Management 0.10510357772964003,ENTREPRENEURSHIP 0.1812208859132399,PRINCIPLES OF RETAILING 0.1114475918998499,SECURITIES REGULATION 0.10501461797300804,ENTREPRENEURSHIP 0.23131283914736547,CORPORATE FINANCE 0.17202494535458837,INTRODUCTION TO OPERATIONS MANAGEMENT 0.12140870582714494,Private Equity in Emerging Markets 0.15066511188965373,VENTURE CAP & ENT MGMT 0.46092671615772357,
TRIBOLOGY:	MATERIALS IN MECH DESIGN 0.10058680260691324,THE PAST PRESERVED: CONSERVATION IN ARCHAEOLOGY 0.10282447916570762,
MASTERPIECES OF ITALIAN LITERATURE:	TOPICS IN PHIL & LIT: ADORNO & LITERARY THEORY 0.1515370908354145,INTERMEDIATE GERMAN II 0.10423298285860234,HISTORY LITERARY CRIT: LIT THEORY ANC TO MODERN 0.1031688633354773,MASTERPIECES OF ITALIAN LITERATURE 0.3231771852520412,HISTORY LITERARY CRIT: LIT THEORY ANC TO MODERN 0.1031688633354773,INTRO MODERN HEBREW LIT: THE HEBREW SHORT STORY 0.13228095691306269,JEWISH FOLKLORE 0.1069809713055474,HISTORY LITERARY CRIT: LIT THEORY ANC TO MODERN 0.1031688633354773,JEWISH FOLKLORE 0.1069809713055474,ADVANCED ITALIAN II 0.34280721907036693,JEWISH FOLKLORE 0.1069809713055474,DANTE'S DIVINE COMEDY 0.28484896373048085,ELEMENTARY ITALIAN I 0.18136304309965356,ELEMENTARY ITALIAN I 0.27052320421121545,JEWISH FOLKLORE 0.1069809713055474,MASTERPIECES OF ITALIAN LITERATURE 0.3231771852520412,DANTE'S DIVINE COMEDY 0.3048219175267933,
GAMIFICATION FOR BUS:	MARKETING STRATEGY 0.10405933149783901,Marketing Strategy 0.10405933149783901,MARKETING STR 0.10405933149783901,STRATEGIC REASONING 0.10507217230290654,Marketing Strategy 0.10405933149783901,STRATEGIC REASONING 0.10507217230290654,MARKETING STR 0.10405933149783901,MARKETING STRATEGY 0.10405933149783901,GAME THEORY 0.14319270042909202,
MEDIA CHINESE I:	ADVANCED PORTUGUESE 0.10348199532567491,COMMUNICATION BEHAVIOR 0.10144989622074839,EARLY CHINESE HISTORY 0.10963474062168299,INTERMED PORTUGUESE II 0.10078795602015811,MEDIA AND RELIGION 0.1347517446879054,THE ARTS OF CHINA 0.15371949634281115,CRIT PERSPECT IN JOURNAL 0.10923171899594057,THE ARTS OF CHINA 0.15371949634281115,ADVANCED PORTUGUESE 0.10368726267344161,2ND YR SPOKEN CHINESE I 0.11459196173184812,BEG RDG/WRTG CHINESE I 0.2209837659661424,INTRODUCTION TO RESEARCH METHODS AND DESIGN 0.10187495270266904,RDGS MOD CHINESE II:LIT 0.2205526998637128,
MOLECULAR AND CELLULAR NEUROBIOLOGY:	CELL SIGNALING 0.11574217407976939,NEURAL SYSTEMS AND BEHAVIOR 0.11540241141433724,COGNITIVE NEUROSCIENCE 0.12845541347003073,HUMAN MEMORY 0.12008318205057468,CANCER CELL BIOLOGY 0.172631442523392,NEURAL SYSTEMS AND BEHAVIOR 0.11540241141433724,MOLEC. BIOL. & GENETICS 0.113557786271464,INTRO TO BRAIN & BEHAV 0.10709644734719657,MOLEC. BIOL. & GENETICS 0.113557786271464,THEORETICAL NEUROSCIENCE 0.14116959323092645,INTRO TO BRAIN & BEHAV 0.10709644734719657,ESSENTIALS OF GENETICS 0.13084580774830423,DRUGS, BRAIN, AND MIND 0.1176790832952323,THEORETICAL NEUROSCIENCE 0.14116959323092645,CANCER CELL BIOLOGY 0.172631442523392,INTRO TO BRAIN & BEHAV 0.10709644734719657,CELL SIGNALING 0.10093251130457724,THEORETICAL NEUROSCIENCE 0.14116959323092645,
JAVASCRIPT:	ART OF THE WEB 0.12796206628653414,INTERNET & WEB SYSTEMS 0.13472887739852377,ART OF THE WEB 0.12796206628653414,ART OF THE WEB 0.12796206628653414,INTERNET & WEB SYSTEMS 0.13472887739852377,RUBY ON RALS WEB DEVELP 0.15174341723212387,INTERNET & WEB SYSTEMS 0.13472887739852377,PYTHON PROG 0.130003294086976,
RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management:	
FNCE OF BUYOUTS & ACQS:	ACCELERATED CORP FINANCE 0.11991909008392791,CORPORATE FNCE (HALF CU) 0.13555974406230215,CORP. GOVERNANCE EXEC 0.10020791568751589,ENTREP THROUGH ACQUIS.: Entrepreneurship through Acquisitions 0.12958998739259783,CORP DEV: MERG & ACQUIS 0.15029580859130637,CORPORATE VALUATION 0.12470433169513938,CORPORATE FINANCE 0.14281092363203096,Nonprofit Financial Management 0.1277435761338373,MERGERS & ACQUISITIONS 0.15140278310777092,SECURITIES REGULATION 0.14545137973510222,ADV BUSINESS CHINESE II 0.11049200978991945,CORPORATE FINANCE 0.14281092363203096,INT PROP&BUS LAW FOR ENG 0.10201463277371958,CORPORATE VALUATION 0.17965934096745054,Private Equity in Emerging Markets 0.10932833078512168,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships 0.13276320096003996,ADVANCED CORP FINANCE 0.1298305257037548,ADVANCED CORP FINANCE 0.13096006578808797,
HIGH RISK NEONATAL THEORY I:	LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.10357248162755746,CLINIC 0.10744148557490646,INTERMEDIATE PRINCIPLES OF PEDIATRIC ACUTE CARE 0.1107580151884525,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.10357248162755746,
ADVANCED DIGITAL PHOTO:	PAINTING PRACTICES 0.12954990821403056,DIGITAL PHOTOGRAPHY 0.30842315032526074,ART NOW 0.16585317136538213,ADVANCED WHEEL STUDIO 0.12616080528614496,VIDEO I 0.10114079743228435,ADVANCED WHEEL STUDIO 0.12616080528614496,PHOTOGRAPHY PRACTICES 0.1619083546918529,PAINTING PRACTICES 0.12954990821403056,ART NOW 0.16585317136538213,DIGITAL PHOTOGRAPHY 0.30842315032526074,INTRODUCTION TO PHOTOGRAPHY: BLACK AND WHITE FILM 0.13485158126600313,ART NOW 0.16585317136538213,BIOMED IMAGE ANALYSIS 0.13251359894694503,BIOMED IMAGE ANALYSIS 0.13251359894694503,PAINTING PRACTICES 0.12954990821403056,EYE, MIND AND IMAGE 0.10673538467558923,INTRO TO PHOTOGRAPHY 0.13485158126600313,PHOTOGRAPHY PRACTICES 0.1619083546918529,ADVANCED PROJECTS IN PRINTMAKING 0.12930688112463454,IMAGE AND SOUND EDITING 0.13721996103600506,VISUAL NARRATIVE 0.11595459789588936,JUNIOR RESEARCH SEMINAR:  CANTERBURY TALES 0.11374719855633834,
ENERGY MARKETS & POLICY:	REAL ESTATE INVESTMENTS 0.10086677217498756,ENVIRON. & ENERGY ECON 0.4903239981171197,ARCHITECTURE IN THE ANTHROPOCENE 0.11451718586618347,CAPITAL MARKETS 0.11517127833576542,ELEC SYSTEMS & MARKETS 0.16427530646164706,VIPER SEMINAR: Vagelos Integrated Program in Energy Research (VIPER) Seminar, Part I 0.14610243946396093,REAL ESTATE INVESTMENTS 0.10086677217498756,REAL ESTATE INVESTMENTS 0.10404482860269969,ENERGY FINANCE 0.31309166620798207,ENERGY ENGINEERING 0.13649432904118128,ENERGY STORAGE & TECHNOL 0.27455528765537274,INTRO TO BIOTRANS PROCES 0.13545858696312962,MATERIAL&ENERGY BALANCES 0.10365149353176721,INTRO TO BIOTRANS PROCES 0.13545858696312962,ENERGY,OIL&GLOBAL WARMIN: Energy, Oil, and Global Warming 0.24177282228670993,ENERGY MARKETS & POLICY 0.9686070925020233,MKTG FOR SOCIAL IMPACT 0.10889417519161125,ENERGY FINANCE 0.31309166620798207,
ENTREPRENEURSHIP:	PROJECT MANAGEMENT 0.10428881756028949,ENG ENTREPRENEURSHIP I 0.10133798726782002,CONSUMER BEHAVIOR 0.10559695945256069,ENG ENTREPRENEURSHIP I 0.10133798726782002,MANAGERIAL ACCOUNTING 0.12991763736902046,MANAGING ORG CHANGE 0.1159775705242883,ENG ENTREPRENEURSHIP I 0.10133798726782002,INNOV, CHG AND ENT 0.1687011782153729,ENTREPRENEURSHIP 0.8229407714587176,VENT CAP & FNCE INNOVAT 0.23589539585811975,ENTREPRENEURSHIP 0.31231255709918454,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.1145037086411034,THE ENTERPRISING MUSICIAN AND ARTIST 0.12747422770678565,ENG ENTREPRENEURSHIP I 0.10133798726782002,OPS STRATEGY PRACTICUM: Penn Global Seminar - Israel (PGS 013) 0.11453499542770756,FIN AND MNGL ACCT 0.150055320029682,ENG ENTREPRENEURSHIP II 0.12038994941395403,LECTURE 0.15018501456916186,PRINCIPLES OF RETAILING 0.11283878138381233,SECURITIES REGULATION 0.1092164525035049,LEADING NONPROFITS 0.10979898998973966,INTRODUCTION TO OPERATIONS MANAGEMENT 0.1464540161404616,THE ENTERPRISING MUSICIAN AND ARTIST 0.12197931919899577,MANAGERIAL ACCOUNTING 0.12991763736902046,VEN CAPITAL & ENT MGMT 0.23131283914736547,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships 0.10170243221641484,VENTURE CAP & ENT MGMT 0.28524797391281637,NONPROFIT SECTOR: ECONOM 0.123857962767164,HC ENTREPRENEURSHIP 0.16070354473084697,
SOIL SCIENCE:	AQUEOUS GEOCHEMISTRY 0.24252801719758824,
